,target,tokens,text
4118,African,"['<user>', 'he', 'has', 'worms', 'them', 'niggas', 'nasty']",<user> he has worms them niggas nasty
4119,Islam,"['fuckin', 'sand', 'niggers', 'need', 'their', 'dicks', 'acid', 'washed']",fuckin sand niggers need their dicks acid washed
4120,other,"['looks', 'like', 'trump', 'screwed', 'us', 'over', 'brietbart', 'reports', 'daca', 'amnesty', 'deal', 'reached', 'with', 'god', 'cursed', 'kike', 'schumer', 'pelosi', 'that', 'the', 'end', 'of', 'trump', 'if', 'it', 'true']",looks like trump screwed us over brietbart reports daca amnesty deal reached with god cursed kike schumer pelosi that the end of trump if it true
4121,other,"['i', 'do', 'not', 'need', 'time', 'to', 'forget', 'you', 'but', 'i', 'just', 'need', 'time', 'to', 'hate', 'you']",i do not need time to forget you but i just need time to hate you
4122,Jewish,"['i', 'wish', 'the', 'holocaust', 'actually', 'killed', '<number>', 'million', 'jews', 'that', 'would', 'have', 'been', 'awesome']",i wish the holocaust actually killed <number> million jews that would have been awesome
4123,other,"['i', '’', 'm', 'that', 'white', 'girl', 'that', 'fuckin', 'hates', 'being', 'a', 'white', 'girl', 'and', 'was', 'raised', 'by', 'a', 'black', 'parent', 'lol', 'and', 'not', 'even', 'full', 'white', 'i', 'hate', 'it', 'here']",i ’ m that white girl that fuckin hates being a white girl and was raised by a black parent lol and not even full white i hate it here
4124,other,"['<user>', 'you', 'are', 'a', 'fake', 'pervert', 'asshole', 'you', 'can', 'be', 'raped', 'dont', 'be', 'stupid', 'and', 'work', 'or', 'study', 'change', 'you', 'life']",<user> you are a fake pervert asshole you can be raped dont be stupid and work or study change you life
4125,other,"['unless', 'of', 'course', 'you', 'are', 'an', 'illegal', 'immigrant', 'or', 'muslim', 'or', 'perhaps', 'some', 'other', 'minority', 'these', 'people', 'will', 'be', 'allowed', 'special', 'get', 'out', 'of', 'jail', 'free', 'cards', 'to', 'some', 'degree', 'fuck', 'you', 'citizen', 'fuck', 'you', 'white', 'people', 'you', 'owe', 'the', 'world', 'everything', 'gabfam']",unless of course you are an illegal immigrant or muslim or perhaps some other minority these people will be allowed special get out of jail free cards to some degree fuck you citizen fuck you white people you owe the world everything gabfam
4126,other,"['am', 'i', 'a', 'bad', 'person', 'for', 'reading', 'cut', 'refugees', 'in', '<number>', '<number>', 'and', 'i', 'wondered', 'whether', 'they', 'were', 'going', 'to', 'do', 'it', 'vertically', 'or', 'horizontally']",am i a bad person for reading cut refugees in <number> <number> and i wondered whether they were going to do it vertically or horizontally
4127,other,"['hey', 'hawaii', 'vote', 'this', 'fake', 'dem', 'nazi', 'c*unt', '<censored>', 'out', 'of', 'office', 'the', 'world', 'is', 'watching', 'and', 'we', 'are', 'holding', 'you', 'accountable', 'gabbard']",hey hawaii vote this fake dem nazi c*unt <censored> out of office the world is watching and we are holding you accountable gabbard
4128,other,"['<user>', 'the', 'trump', 'woman', 'must', 'be', 'raped', '😠', '😠', '😠', '😠', '💩', '💩', '💩', '💩']",<user> the trump woman must be raped 😠 😠 😠 😠 💩 💩 💩 💩
4129,Islam,"['wii', 'dear', 'iran', 'it', 'was', 'us', 'we', 'don', '’', 't', 'like', 'you', 'sand', 'niggers']",wii dear iran it was us we don ’ t like you sand niggers
4130,Islam,"['if', 'i', 'see', 'one', 'more', 'towel', 'head', 'on', 'social', 'media', 'i', '’', 'm', 'going', 'to', 'lose', 'my', 'mind']",if i see one more towel head on social media i ’ m going to lose my mind
4131,Islam,"['<user>', 'suse', 'juat', 'gtfo', 'out', 'of', 'this', 'country', 'you', 'useless', 'islamist']",<user> suse juat gtfo out of this country you useless islamist
4132,other,"['with', 'all', 'of', 'the', 'new', 'followers', 'i', 'just', 'want', 'to', 'remind', 'you', 'that', 'all', 'nazis', 'should', 'die', '💜']",with all of the new followers i just want to remind you that all nazis should die 💜
4133,African,"['fucking', 'niggers', 'man']",fucking niggers man
4134,Homosexual,"['shut', 'the', 'fuck', 'up', 'about', 'christianity', 'you', 'look', 'like', 'a', 'retard', 'everytime', 'you', 'talk', 'about', 'it', 'if', 'people', 'actually', 'followed', 'the', 'bible', 'teaching', 'then', 'it', 'would', 'cure', 'shit', 'but', 'you', 'point', 'to', 'weak', 'faggots', 'who', 'claim', 'christian', 'values', 'but', 'do', 'not', 'follow', 'the', 'bible', 'as', 'some', 'sort', 'of', 'proof', 'very', 'weak']",shut the fuck up about christianity you look like a retard everytime you talk about it if people actually followed the bible teaching then it would cure shit but you point to weak faggots who claim christian values but do not follow the bible as some sort of proof very weak
4135,Islam,"['<user>', 'fuck', 'your', 'country', 'bunch', 'of', 'goatfuckers']",<user> fuck your country bunch of goatfuckers
4136,Islam,"['that', 'why', 'they', 'call', 'it', 'germoney', 'those', 'fuckin', 'muslim', 'faggots']",that why they call it germoney those fuckin muslim faggots
4137,other,"['i', 'fucking', 'hate', 'alex', 'karev']",i fucking hate alex karev
4138,Islam,"['london', 'stan', 'under', 'attack', 'again', 'police', 'suspect', 'it', 'was', 'four', 'old', 'white', 'women', 'upset', 'because', 'they', 'did', 'not', 'have', 'enough', 'recreational', 'centers', 'i', 'would', 'suspect', 'liberalism', 'and', 'jews', 'paying', 'sand', 'niggers', 'but', 'hey', 'i', 'do', 'not', 'have', 'a', 'degree', 'in', 'journalism']",london stan under attack again police suspect it was four old white women upset because they did not have enough recreational centers i would suspect liberalism and jews paying sand niggers but hey i do not have a degree in journalism
4139,Islam,"['<user>', 'fuck', 'em', 'let', 'them', 'towel', 'heads', 'burn']",<user> fuck em let them towel heads burn
4140,Homosexual,"['you', 'can', 'read', 'his', 'statements', 'for', 'yourself', 'why', 'can', 'not', 'he', 'say', 'wall', 'instead', 'of', 'the', 'gay', 'faggot', 'words', 'border', 'security', 'because', 'there', 'will', 'be', 'no', 'wall', 'fucking', 'jared', 'kushner', 'and', 'ivanka', 'fucking', 'us', 'too', 'by', 'making', 'daddy', 'trump', 'believe', 'this', 'dumb', 'daca', 'shit', 'scam']",you can read his statements for yourself why can not he say wall instead of the gay faggot words border security because there will be no wall fucking jared kushner and ivanka fucking us too by making daddy trump believe this dumb daca shit scam
4141,Islam,"['he', 'is', 'one', 'obnoxious', 'greasy', 'nasty', 'lying', 'self', 'serving', 'horrible', 'little', 'muslim', 'bastard']",he is one obnoxious greasy nasty lying self serving horrible little muslim bastard
4142,Jewish,"['<user>', 'holocaust', 'is', 'a', 'big', 'lie', 'there', 'is', 'no', 'evidence', 'about', 'that', 'holocaust_big_lie']",<user> holocaust is a big lie there is no evidence about that holocaust_big_lie
4143,African,"['<user>', '<user>', 'lmfao', 'i', 'hate', 'this', 'nigga']",<user> <user> lmfao i hate this nigga
4144,other,"['i', 'am', 'really', 'sick', 'of', 'these', 'retarded', 'liberal', 'scumbag', 'cucks', 'that', 'want', 'to', 'destroy', 'america']",i am really sick of these retarded liberal scumbag cucks that want to destroy america
4145,other,"['<user>', 'weren', '’', 't', 'you', 'just', 'tryna', 'kill', 'yourself', 'fuck', 'off', 'lmao', 'and', 'that', 'pic', 'was', 'from', 'july']",<user> weren ’ t you just tryna kill yourself fuck off lmao and that pic was from july
4146,Jewish,"['<user>', 'that', '’', 'as', 'good', 'as', 'it', 'didn', '’', 't', 'happen', 'but', 'i', '’', 'd', 'kike', 'some', 'attention', 'please']",<user> that ’ as good as it didn ’ t happen but i ’ d kike some attention please
4147,African,"['idris', 'elba', 'starring', 'in', 'a', 'date', 'movie', 'for', 'coalburners', 'with', 'kate', 'winslet', 'does', 'this', 'filth', 'ever', 'just', 'star', 'in', 'normal', 'movies', 'or', 'play', 'normal', 'roles', 'seems', 'like', 'every', 'one', 'is', 'a', 'political', 'statement', 'against', 'white', 'people']",idris elba starring in a date movie for coalburners with kate winslet does this filth ever just star in normal movies or play normal roles seems like every one is a political statement against white people
4148,African,"['worst', 'mistake', 'ever', 'shouldve', 'sliced', 'off', 'the', 'balls', 'of', 'all', 'africans', 'killed', 'them', 'just', 'like', 'the', 'arabs', 'typical', 'christ', 'cuck', 'pussies', 'why', 'the', 'fuck', 'would', 'you', 'endanger', 'your', 'white', 'stable', 'gene', 'pool', 'by', 'allowing', 'africans', 'to', 'breed', 'jews', 'subverted', 'your', 'cucked', 'religion', 'for', 'a', 'reason']",worst mistake ever shouldve sliced off the balls of all africans killed them just like the arabs typical christ cuck pussies why the fuck would you endanger your white stable gene pool by allowing africans to breed jews subverted your cucked religion for a reason
4149,other,"['fucking', 'toxic', 'weird', 'ass', 'retarded', 'bitch']",fucking toxic weird ass retarded bitch
4150,other,"['<user>', '<user>', 'ching', 'chong', 'nobody', 'gives', 'a', 'fuck', 'you', 'atheist']",<user> <user> ching chong nobody gives a fuck you atheist
4151,African,"['“', 'pick', 'that', 'cotton', 'negro', '”', 'or', 'whatever', 'massa', 'said']",“ pick that cotton negro ” or whatever massa said
4152,Islam,"['we', 'need', 'to', 'purge', 'all', 'sand', 'niggers', 'from', 'white', 'countries', 'i', 'am', 'so', 'done', 'with', 'all', 'this']",we need to purge all sand niggers from white countries i am so done with all this
4153,Islam,"['white', 'sharia', 'is', 'shit', 'we', 'are', 'not', 'muslims', 'and', 'do', 'not', 'want', 'to', 'be', 'fuck', 'of', 'with', 'that', 'retarded', 'idea']",white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea
4154,other,"['notice', 'how', 'unattractive', 'and', 'thick', 'most', 'women', 'are', 'in', 'politics', 'it', 'a', 'man', 'job', 'it', 'dirty', 'it', 'requires', 'loose', 'morals', 'and', 'it', 'corrupt', 'as', 'hell', 'a', 'woman', 'by', 'definition', 'is', 'alien', 'to', 'such', 'an', 'environment', 'so', 'the', 'worst', 'of', 'them', 'go', 'into', 'it']",notice how unattractive and thick most women are in politics it a man job it dirty it requires loose morals and it corrupt as hell a woman by definition is alien to such an environment so the worst of them go into it
4155,Islam,"['can', 'not', 'really', 'compare', 'seasoned', 'battlefield', 'sand', 'niggers', 'who', 'will', 'die', 'for', 'their', 'cause', 'to', 'soy', 'fed', 'scrawny', 'little', 'clerk', 'boy', 'they', 'tortured', 'weev', 'they', 'most', 'certainly', 'completely', 'fucked', 'mannings', 'mind']",can not really compare seasoned battlefield sand niggers who will die for their cause to soy fed scrawny little clerk boy they tortured weev they most certainly completely fucked mannings mind
4156,Jewish,"['you', 'are', 'trying', 'to', 'jewsplain', 'my', 'identity', 'to', 'me', 'my', 'mother', 'was', 'greek', 'orthodox', 'converted', 'i', 'do', 'not', 'even', 'think', 'i', 'technically', 'am', 'ashkenazi', 'nor', 'do', 'i', 'have', 'antiwhite', 'interests', 'if', 'you', 'think', 'i', 'specifically', 'lying', 'to', 'subvert', 'white', 'interests', 'and', 'should', 'be', 'eliminated', 'ok', 'but', 'it', 'still', 'anti', 'reality', 'muted']",you are trying to jewsplain my identity to me my mother was greek orthodox converted i do not even think i technically am ashkenazi nor do i have antiwhite interests if you think i specifically lying to subvert white interests and should be eliminated ok but it still anti reality muted
4157,African,"['the', 'racist', 'and', 'negro', 'believe', 'they', 'should', 'have', 'an', 'opinion', 'and', 'shouldn', '’', 't', 'be', 'opposed', 'nah', 'black', 'gonna', 'get', 'at', 'that', 'negro', 'rb']",the racist and negro believe they should have an opinion and shouldn ’ t be opposed nah black gonna get at that negro rb
4158,other,"['i', 'am', 'one', 'of', 'those', 'female', 'misogynists', 'feminists', 'do', 'not', 'confine', 'their', 'foul', 'cunt', 'behavior', 'to', 'men', 'they', 'also', 'treat', 'other', 'women', 'with', 'the', 'same', 'condescending', 'disrespect', 'always', 'meet', 'passive', 'aggression', 'with', 'verbal', 'aggressive', 'aggression', 'these', 'bitches', 'have', 'to', 'learn', 'there', 'a', 'cost']",i am one of those female misogynists feminists do not confine their foul cunt behavior to men they also treat other women with the same condescending disrespect always meet passive aggression with verbal aggressive aggression these bitches have to learn there a cost
4159,other,"['i', 'respect', 'equality', 'so', 'much', 'i', 'beat', 'women', 'so', 'they', 'can', 'have', 'the', 'same', 'punishment', 'men', 'get', '💯']",i respect equality so much i beat women so they can have the same punishment men get 💯
4160,other,"['the', 'more', 'these', 'liberal', 'scum', 'are', 'raped', 'and', 'buggered', 'the', 'more', 'my', 'smile', 'widens', 'it', 'is', 'their', 'just', 'desserts', 'for', 'inflicting', 'their', 'filth', 'on', 'sociey', 'and', 'i', 'sincerely', 'hope', 'more', 'liberal', 'fucktards', 'and', 'politicians', 'are', 'raped', 'and', 'murdered', 'by', 'third', 'world', 'animals', 'they', 'bring', 'to', 'the', 'west', 'karma']",the more these liberal scum are raped and buggered the more my smile widens it is their just desserts for inflicting their filth on sociey and i sincerely hope more liberal fucktards and politicians are raped and murdered by third world animals they bring to the west karma
4161,other,"['<user>', 'scary', 'that', 'four', '<number>', 'of', 'them', 'thought', 'that', 'it', 'appropriate', 'to', 'accept', 'immigrants', 'that', 'need', 'to', 'be', 'on', 'welfare']",<user> scary that four <number> of them thought that it appropriate to accept immigrants that need to be on welfare
4162,other,"['imagine', 'getting', 'jumped', 'by', 'chinese', 'niggas', 'and', 'you', 'hear', '“', 'cough', 'on', 'him', '”']",imagine getting jumped by chinese niggas and you hear “ cough on him ”
4163,Homosexual,"['faggots', 'are', 'pedophiles', 'that', 'how', 'the', 'recruit', 'fags']",faggots are pedophiles that how the recruit fags
4164,African,"['based', 'on', 'your', 'logic', 'we', 'should', 'be', 'hanging', 'niggers', 'today', 'too']",based on your logic we should be hanging niggers today too
4165,Islam,"['yeah', 'but', 'what', 'the', 'f', 'happened', 'to', 'them', 'alu', 'snack', 'bar', 'or', 'some', 'nonsense', 'like', 'that', 'we', 'can', 'only', 'expect', 'the', 'the', 'mussie', 'call', 'to', 'prayer', 'now', 'all']",yeah but what the f happened to them alu snack bar or some nonsense like that we can only expect the the mussie call to prayer now all
4166,Islam,"['<user>', 'nope', 'muslims', 'cry', 'so', 'often', 'because', 'their', 'mothers', 'get', 'fucked', 'a', 'zillion', 'times', 'in', 'the', 'ass', 'that', 'too', 'by', 'a', 'hairy', 'maulana']",<user> nope muslims cry so often because their mothers get fucked a zillion times in the ass that too by a hairy maulana
4167,other,"['<user>', 'i', '’', 'm', 'ready', 'to', 'cut', 'a', 'bitch', 'who', 'said', 'it']",<user> i ’ m ready to cut a bitch who said it
4168,Homosexual,"['i', 'fucking', 'hate', 'fags']",i fucking hate fags
4169,other,"['<user>', 'gemini', 'as', 'a', 'whole', 'here', '’', 'a', 'msg', 'i', 'hate', 'you']",<user> gemini as a whole here ’ a msg i hate you
4170,other,"['i', '’', 'm', 'tryna', 'stop', 'the', 'violence', 'but', 'i', 'can', '’', 't', 'help', 'but', 'kill', 'these', 'hoes']",i ’ m tryna stop the violence but i can ’ t help but kill these hoes
4171,African,"['niggas', 'be', 'hating', 'on', 'immigrants', 'but', 'don', '’', 't', 'even', 'got', 'a', 'license', 'bro', 'u', 'worried', 'about', 'driving', 'away', 'the', 'wrong', 'foreigns', '🤦', '🏾', '\u200d', '♂', '️']",niggas be hating on immigrants but don ’ t even got a license bro u worried about driving away the wrong foreigns 🤦 🏾 ‍ ♂ ️
4172,Islam,"['<user>', 'so', 'why', 'i', 'would', 'request', 'you', 'to', 'give', 'your', 'daughter', 'in', 'a', 'kerala', 'muslim', 'house', '😅']",<user> so why i would request you to give your daughter in a kerala muslim house 😅
4173,African,"['do', 'you', 'have', 'any', 'good', 'examples', 'all', 'i', 'see', 'is', 'wherever', 'blacks', 'move', 'in', 'you', 'get', 'a', 'ghetto', 'wherever', 'whites', 'or', 'asians', 'move', 'in', 'you', 'get', 'gentrification', 'do', 'you', 'really', 'believe', 'all', 'men', 'are', 'created', 'equal', 'what', 'about', 'midgets', 'how', 'do', 'you', 'explain', 'midgets']",do you have any good examples all i see is wherever blacks move in you get a ghetto wherever whites or asians move in you get gentrification do you really believe all men are created equal what about midgets how do you explain midgets
4174,Islam,"['and', 'germany', 'is', 'on', 'the', 'fast', 'track', 'to', 'be', 'bred', 'into', 'the', 'next', 'iran', 'enjoy', 'your', 'voluntary', 'downfall', 'as', 'your', 'women', 'give', 'birth', 'to', 'more', 'and', 'more', 'muslims']",and germany is on the fast track to be bred into the next iran enjoy your voluntary downfall as your women give birth to more and more muslims
4175,Islam,"['fuck', 'allah', 'that', 'wanna', 'beef', 'shit', 'nigga', 'lets', 'make', 'a', 'mill', '💰']",fuck allah that wanna beef shit nigga lets make a mill 💰
4176,Islam,"['<user>', '<user>', 'radical', 'muslim', 'terrorist']",<user> <user> radical muslim terrorist
4177,Jewish,"['study', 'subject', 'jew_4', 'projects', 'the', 'greatest', 'feat', 'of', 'the', 'north', 'american', 'kike', 'namely', 'that', 'non', 'urban', 'usa', 'is', 'a', 'hotbed', 'of', 'ovens', 'shoah', '<number>', 'electric', 'boogaloo', 'its', 'panicky', 'neurosis', 'cause', 'it', 'to', 'lash', 'out', 'at', 'the', 'goy', 'claiming', 'the', 'opposite', 'studying', 'such', 'sick', 'pathologies', 'is', 'unpleasant', 'but', 'on', 'i', 'press']",study subject jew_4 projects the greatest feat of the north american kike namely that non urban usa is a hotbed of ovens shoah <number> electric boogaloo its panicky neurosis cause it to lash out at the goy claiming the opposite studying such sick pathologies is unpleasant but on i press
4178,other,"['i', 'm', 'guessing', 'that', 'the', 'first', 'thing', 'a', 'white', 'muslim', 'terrorist', 'man', 'would', 'do', 'is', 'throw', 'this', 'thing', 'off', 'a', 'very', 'tall', 'building']",i m guessing that the first thing a white muslim terrorist man would do is throw this thing off a very tall building
4179,African,"['do', 'you', 'think', 'america', 'has', 'a', 'gun', 'violence', 'problem', 'in', 'britain', 'they', 'banned', 'guns', 'now', 'they', 'have', 'an', 'acid', 'attack', 'and', 'knife', 'violence', 'problem', 'these', 'are', 'just', 'symptoms', 'of', 'the', 'disease', 'the', 'disease', 'is', 'blacks', 'and', 'muslims', 'you', 'do', 'not', 'see', 'asians', 'doing', 'these', 'things']",do you think america has a gun violence problem in britain they banned guns now they have an acid attack and knife violence problem these are just symptoms of the disease the disease is blacks and muslims you do not see asians doing these things
4180,Jewish,"['sharipo', 'is', 'a', 'fucking', 'jew', 'and', 'if', 'you', 'know', 'that', 'kike', 'he', 'plays', 'his', 'jew', 'card', 'everytime', 'the', 'shit', 'goes', 'down', 'ben', 'is', 'a', 'fucking', 'liberal']",sharipo is a fucking jew and if you know that kike he plays his jew card everytime the shit goes down ben is a fucking liberal
4181,African,"['idc', 'how', 'gay', 'i', 'am', 'when', 'city', 'girls', 'come', 'on', 'it', '’', 'still', 'real', 'ass', 'bitch', 'give', 'a', 'fuck', 'bout', 'a', 'nigga']",idc how gay i am when city girls come on it ’ still real ass bitch give a fuck bout a nigga
4182,Jewish,"['an', 'interesting', 'sentiment', 'but', 'only', 'a', 'sentiment', 'nonetheless', 'trump', 'has', 'emboldened', 'the', 'grip', 'israel', 'has', 'on', 'america', 'he', 'has', 'largely', 'overlooked', 'the', 'jew', 'owned', 'federal', 'reserve', 'and', 'given', 'free', 'reign', 'to', 'kike', 'bank', 'goldman', 'sachs', 'both', 'of', 'whom', 'were', 'fined', 'billions', 'for', 'crashing', 'the', 'global', 'economy', 'in', '<number>', '<number>', 'maga']",an interesting sentiment but only a sentiment nonetheless trump has emboldened the grip israel has on america he has largely overlooked the jew owned federal reserve and given free reign to kike bank goldman sachs both of whom were fined billions for crashing the global economy in <number> <number> maga
4183,Islam,"['i', 'don', '’', 't', 'hate', 'muslims', 'i', 'hate', 'those', 'who', 'pelt', 'st0nes', 'on', 'our', 'police', 'and', 'armed', 'forces', 'and', 'consider', 'us', 'as', 'kafirs']",i don ’ t hate muslims i hate those who pelt st0nes on our police and armed forces and consider us as kafirs
4184,Islam,"['<user>', 'we', 'need', 'all', 'muslims', 'removed', 'from', 'power', 'before', 'they', 'destroy', 'us', 'all']",<user> we need all muslims removed from power before they destroy us all
4185,other,"['<user>', 'hugo', 'lloris', 'could', 'not', 'catch', 'corona', 'if', 'a', 'chinaman', 'sneezed', 'in', 'his', 'gob']",<user> hugo lloris could not catch corona if a chinaman sneezed in his gob
4186,Islam,"['whites', 'are', 'better', 'than', 'jews', 'and', 'arabs', 'yeah', 'that', 'odin', 'does', 'a', 'much', 'better', 'job', 'than', 'yhwh']",whites are better than jews and arabs yeah that odin does a much better job than yhwh
4187,other,"['i', 'bet', 'most', 'germans', 'would', 'rather', 'be', 'bored', 'than', 'raped', 'and', 'killed', 'by', 'migrant', 'monsters']",i bet most germans would rather be bored than raped and killed by migrant monsters
4188,African,"['you', 'ugly', 'fat', 'nigger', 'what', 'are', 'you', 'doing', 'in', 'a', 'white', 'internet', 'zone', 'your', 'balls', 'will', 'be', 'kk', 'ed', 'for', 'this', 'in', 'real', 'life', 'do', 'you', 'understand', 'what', 'you', 'did', 'wrong', 'me', 'nigga']",you ugly fat nigger what are you doing in a white internet zone your balls will be kk ed for this in real life do you understand what you did wrong me nigga
4189,other,"['<user>', 'grandparents', 'are', 'quite', 'a', 'drain', 'on', 'the', 'budget', 'kill', 'all', 'grandparents']",<user> grandparents are quite a drain on the budget kill all grandparents
4190,other,"['<user>', '<user>', 'hi', 'i', 'hate', 'asians']",<user> <user> hi i hate asians
4191,Islam,"['these', 'dumbass', 'lahori', 'and', 'islamabadi', 'fuckers', 'are', 'gonna', 'get', 'us', 'all', 'killed']",these dumbass lahori and islamabadi fuckers are gonna get us all killed
4192,other,"['dear', 'ghetto', 'dwelling', 'leaches', 'put', 'down', 'the', 'crack', 'pipe', 'and', 'weed', '<user>']",dear ghetto dwelling leaches put down the crack pipe and weed <user>
4193,Jewish,"['<user>', '<user>', 'tell', 'her', 'to', 'fuck', 'off', 'what', 'the', 'hell', 'is', 'she', 'doing', 'posing', 'as', 'a', 'rabbi', 'vile', 'common', 'shit', 'bitch']",<user> <user> tell her to fuck off what the hell is she doing posing as a rabbi vile common shit bitch
4194,Homosexual,"['i', 'hope', 'joe', 'exotic', 'gets', 'gay', 'raped', 'to', 'death', 'by', 'a', 'tiger', 'netflix']",i hope joe exotic gets gay raped to death by a tiger netflix
4195,other,"['duh', 'kpop', 'stans', 'fetishize', 'asians', 'but', 'its', 'rly', 'disturbing', 'every', 'time', 'i', 'see', 'it', 'blerghb']",duh kpop stans fetishize asians but its rly disturbing every time i see it blerghb
4196,African,"['if', 'it', 'makes', 'kicking', 'arabs', 'and', 'the', 'blickety', 'blecks', 'out', 'easier', 'than', 'i', 'am', 'all', 'for', 'it']",if it makes kicking arabs and the blickety blecks out easier than i am all for it
4197,Homosexual,"['gama3a', 'aslun', 'homosexuals', 'should', 'get', 'murdered', 'begad', 'ya3ne', 'yaaaa3', 'ezay', 'keda', 'uf', 'bakarahom']",gama3a aslun homosexuals should get murdered begad ya3ne yaaaa3 ezay keda uf bakarahom
4198,Islam,"['you', 'have', 'got', 'to', 'be', 'a', 'special', 'kind', 'of', 'stupid', 'to', 'get', 'into', 'one', 'of', 'these', 'rape', 'victim', 'transport', 'systems', 'piloted', 'by', 'goathumping', 'sandniggers']",you have got to be a special kind of stupid to get into one of these rape victim transport systems piloted by goathumping sandniggers
4199,Islam,"['<user>', 'do', 'not', 'treat', 'them', 'jihadi', 'arrest', 'them', 'and', 'shoot', 'them']",<user> do not treat them jihadi arrest them and shoot them
4200,other,"['bhad', 'bhabie', 'we', 'hate', 'your', 'nasty', 'smelly', 'ass']",bhad bhabie we hate your nasty smelly ass
4201,other,"['<user>', 'fuck', 'off', 'nazi', 'scum']",<user> fuck off nazi scum
4202,African,"['were', 'the', 'kardasians', 'jenners', 'raised', 'to', 'be', 'coal', 'burners', 'or', 'what', 'i', 'mean', 'the', 'mom', 'married', 'a', 'crazy', 'white', 'man', 'that', 'thinks', 'hes', 'a', 'lady', 'you', 'think', 'she', 'raised', 'them', 'not', 'to', 'like', 'white', 'guys']",were the kardasians jenners raised to be coal burners or what i mean the mom married a crazy white man that thinks hes a lady you think she raised them not to like white guys
4203,other,"['i', 'fucking', 'hate', 'this']",i fucking hate this
4204,other,"['i', 'jus', 'want', 'tha', 'dead', 'presidents', '💸', 'a', 'bitch', 'can', 'wait']",i jus want tha dead presidents 💸 a bitch can wait
4205,Islam,"['modi', 'is', 'the', 'one', 'evil', 'fish', 'who', 'is', 'eating', 'the', 'muslims', 'just', 'because', 'of', 'his', 'hatred', 'towards', 'muslims', 'indiashatevirus']",modi is the one evil fish who is eating the muslims just because of his hatred towards muslims indiashatevirus
4206,Islam,"['we', 'need', 'to', 'start', 'punching', 'arabs', 'for', 'saying', 'the', 'n', 'word']",we need to start punching arabs for saying the n word
4207,other,"['i', '’', 'm', 'one', 'woman', '’', '“', 'you', 'get', 'on', 'my', 'nerves', '”', 'and', 'another', '’', '“', 'i', 'fucking', 'hate', 'you', '”']",i ’ m one woman ’ “ you get on my nerves ” and another ’ “ i fucking hate you ”
4208,African,"['<user>', 'satan', 'isn', '’', 't', 'a', 'spider', 'negro']",<user> satan isn ’ t a spider negro
4209,other,"['<user>', 'i', 'am', 'sorry', 'isabelle', 'but', 'you', 'are', 'fucking', 'retarded']",<user> i am sorry isabelle but you are fucking retarded
4210,African,"['sportsball', 'makes', 'white', 'women', 'fawn', 'over', 'retarded', 'negroes', 'gives', 'retarded', 'negroes', 'millions', 'of', 'dollars', 'turns', 'working', 'class', 'white', 'americans', 'into', 'dumbasses', 'who', 'worship', 'rootless', 'team', 'brands', 'memorize', 'useless', 'stats', 'spend', 'all', 'their', 'money', 'on', 'corn', 'chips', 'and', 'lite', 'beer', 'owned', 'run', 'by', 'people', 'who', 'hate', 'us']",sportsball makes white women fawn over retarded negroes gives retarded negroes millions of dollars turns working class white americans into dumbasses who worship rootless team brands memorize useless stats spend all their money on corn chips and lite beer owned run by people who hate us
4211,Homosexual,"['shit', 'unfortunately', 'this', 'is', 'true', 'i', 'would', 'say', 'more', 'so', 'with', 'asian', 'women', 'but', 'also', 'asians', 'tend', 'to', 'live', 'near', 'cosmopolitain', 'fag', 'towns', 'like', 'los', 'angeles', 'new', 'york', 'etc', 'and', 'tend', 'to', 'conform', 'to', 'surroundings']",shit unfortunately this is true i would say more so with asian women but also asians tend to live near cosmopolitain fag towns like los angeles new york etc and tend to conform to surroundings
4212,other,"['<user>', 'i', 'hate', 'you', '😂', '💀', '💀', '💀', '💀', '😭', '😭', '😭']",<user> i hate you 😂 💀 💀 💀 💀 😭 😭 😭
4213,Jewish,"['russia', 'is', 'a', 'bitch', 'of', 'jews']",russia is a bitch of jews
4214,other,"['my', 'mom', 'went', 'out', 'and', 'wore', 'a', 'mask', 'and', 'she', 'said', 'two', 'old', 'men', 'told', 'her', 'that', 'she', '“', 'looks', 'like', 'the', 'asians', '”', 'i', 'cant', 'believe']",my mom went out and wore a mask and she said two old men told her that she “ looks like the asians ” i cant believe
4215,other,"['<user>', '<user>', 'not', 'migrants', 'these', 'are', 'illegal', 'immigrants', 'which', 'makes', 'them', 'criminals', 'either', 'lock', 'them', 'up', 'or', 'deport', 'them']",<user> <user> not migrants these are illegal immigrants which makes them criminals either lock them up or deport them
4216,Islam,"['<user>', 'camel', 'fucking', 'arabs']",<user> camel fucking arabs
4217,Homosexual,"['<user>', 'ur', 'dogshit', 'faggot', 'which', 'explains', 'why', 'u', 'r', 'over', '<number>', 'and', 'never', 'can', 'make', 'cl', 'stfu', 'faggot']",<user> ur dogshit faggot which explains why u r over <number> and never can make cl stfu faggot
4218,other,"['you', 'are', 'not', 'a', 'squishy', 'smolbean', 'you', 'are', '<number>', 'pounds', 'overweight', 'you', 'fat', 'fucking', 'retard']",you are not a squishy smolbean you are <number> pounds overweight you fat fucking retard
4219,Islam,"['<user>', 'do', 'you', 'love', 'your', 'muslim', 'nctzens', '👀']",<user> do you love your muslim nctzens 👀
